B-01,B-02,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,B-17,B-18,B-19,B-20,B-21,B-22,B-23,Average,Variance,Zone 1,Zone 2,Zone 3
0.0,0.0,0.0,10.5,0.0,0.0,0.0,4.5,4.5,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.704545454545453,3823.0134297520644,4.5,0.0,17.1875
33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.431818181818182,1817.7861570247942,4.5,0.0,14.0625
33.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.977272727272727,3700.459710743804,0.0,0.0,19.21875
33.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,217.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.863636363636363,2778.471074380166,0.0,0.0,16.3125
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.954545454545455,1156.933884297521,0.0,0.0,10.9375
11.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.65909090909091,1135.7200413223145,0.0,0.0,10.53125
0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,27.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1200.9669421487602,27.0,0.0,10.0
0.0,0.0,0.0,0.0,0.0,556.5,16.5,4.5,7870.5,21.0,0.0,172.5,859.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,431.9545454545455,3552288.0247933893,7870.5,286.5,12.5
0.0,0.0,2.0,316.5,0.0,943.5,16.5,4.5,7173.0,133.5,0.0,228.0,1603.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,473.8863636363636,3362272.7572314045,7173.0,512.7,43.0625
108.5,58.5,4.5,612.0,0.0,684.0,0.0,0.0,11214.0,63.0,0.0,201.0,1500.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.5,657.2272727272727,9491658.14256198,11214.0,436.8,66.3125
400.5,58.5,61.5,1252.5,0.0,267.0,0.0,0.0,3535.5,88.5,0.0,193.5,2215.5,0.0,39.0,0.0,0.0,0.0,9.0,0.0,0.0,46.5,371.25,1109570.550619835,3535.5,496.5,134.34375
366.0,360.5,75.0,742.5,32.0,510.0,96.0,0.0,1597.5,10.5,0.0,193.5,1653.0,0.0,39.0,0.0,0.0,0.0,9.0,0.0,0.0,244.5,269.5,280550.7190082646,1597.5,451.8,129.53125
343.5,663.0,295.5,600.0,87.0,402.0,84.0,15.0,1267.0,36.0,0.0,221.5,1428.0,4.5,0.0,4.5,0.0,0.0,28.5,0.0,4.5,262.5,261.22727272727275,240419.88429752062,1267.0,384.6,159.8125
291.0,775.5,414.0,300.0,40.5,448.5,9.0,24.0,1877.0,51.0,0.0,214.5,850.5,4.5,0.0,0.0,0.0,0.0,49.5,4.5,4.5,391.5,261.3636363636364,352593.98553718993,1877.0,262.5,160.03125
309.0,1048.5,273.0,103.5,99.0,57.0,21.0,30.0,2568.0,4.5,0.0,157.5,498.0,4.5,0.0,0.0,3.0,4.5,70.5,0.0,2.0,381.0,256.1136363636364,607473.2324380165,2568.0,116.1,155.375
364.5,612.0,351.0,40.5,199.5,60.0,10.5,25.5,1290.5,10.5,0.0,192.0,196.5,8.5,0.0,0.0,6.0,4.5,49.5,0.0,0.0,318.0,169.97727272727275,161321.5547520661,1290.5,55.1,135.84375
260.0,612.0,424.0,10.5,199.5,97.5,40.5,19.5,4.5,10.5,0.0,300.0,19.5,9.0,0.0,0.0,9.0,4.5,9.0,0.0,0.0,184.5,100.63636363636363,31806.44008264463,4.5,33.3,127.6875
132.0,455.0,360.5,10.5,202.0,78.0,42.0,36.0,4.5,0.0,0.0,300.0,25.5,4.5,0.0,0.0,3.0,9.0,4.5,0.0,37.5,139.5,83.81818181818181,18422.140495867767,4.5,30.0,105.59375
130.5,169.5,264.0,4.5,180.0,40.5,27.0,51.0,15.5,0.0,0.0,246.5,37.5,9.0,0.0,0.0,0.0,9.0,4.5,0.0,37.5,79.5,59.36363636363637,8119.34917355372,15.5,22.8,73.53125
78.0,195.0,208.5,4.5,138.0,36.0,31.5,40.5,22.5,70.5,0.0,205.5,51.0,19.5,0.0,0.0,0.0,17.0,0.0,0.0,37.5,106.5,57.36363636363636,6423.84917355372,22.5,27.6,68.84375
51.5,168.0,208.5,37.5,115.5,33.0,18.0,15.0,13.5,75.0,0.0,339.0,55.5,19.5,0.0,0.0,0.0,19.5,10.5,0.0,18.5,93.0,58.68181818181818,9335.801652892565,13.5,25.2,71.96875
75.0,84.0,146.5,15.0,79.5,33.0,39.0,13.5,18.0,0.0,4.5,363.0,4.5,18.5,0.0,0.0,6.0,49.5,15.0,0.0,0.0,13.5,44.45454545454545,7632.035123966941,18.0,19.0,54.0625
34.5,84.0,105.0,12.5,79.5,33.0,25.5,13.5,40.5,0.0,4.5,384.0,4.5,34.5,0.0,0.0,16.5,4.5,4.5,0.0,0.0,36.0,41.68181818181819,6924.254132231406,40.5,19.5,48.6875
103.5,60.5,87.0,15.0,73.0,24.0,10.5,9.0,45.0,0.0,15.0,384.0,0.0,10.5,0.0,22.5,24.0,4.5,0.0,0.0,0.0,36.0,42.0,6861.971074380166,45.0,13.5,50.71875
30.0,19.5,54.0,4.5,40.5,28.5,36.0,4.5,15.5,0.0,34.5,331.5,16.5,0.0,4.5,0.0,25.5,4.5,9.0,0.0,0.0,9.0,30.363636363636363,5046.086776859502,15.5,16.2,35.71875
31.5,19.5,78.0,4.5,13.5,31.5,46.5,4.5,18.0,24.0,34.5,219.0,4.5,4.5,9.0,0.0,18.0,6.5,13.5,0.0,0.0,4.5,26.613636363636363,2433.69111570248,18.0,17.4,30.03125
82.5,36.0,78.0,4.5,27.0,25.5,0.0,9.0,18.0,28.5,22.5,231.0,4.5,4.5,4.5,0.0,10.5,27.0,49.5,4.5,0.0,0.0,30.340909090909093,2981.7985537190075,18.0,6.9,38.4375
58.5,9.0,52.5,5.0,22.5,12.5,16.5,39.0,6.5,24.0,30.0,285.0,4.5,7.5,0.0,0.0,0.0,22.5,4.5,0.0,4.5,4.5,27.68181818181818,3772.5475206611563,6.5,8.2,35.09375
9.0,9.0,60.0,21.0,22.5,10.5,21.0,34.5,4.5,19.5,24.0,129.0,4.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.65909090909091,1086.9266528925618,4.5,9.3,21.09375
3.0,22.0,55.5,21.0,52.0,4.5,4.5,0.0,4.5,0.0,28.5,129.0,4.5,9.0,0.0,0.0,13.5,39.0,4.5,0.0,0.0,45.0,20.0,1275.5599173553721,4.5,4.5,25.8125
